CUDA device           : 0 NVIDIA A30X (0000:36:00.0)
Controller page size  : 4096 B
Namespace block size  : 4096 B
Number of threads     : 4
Chunks per thread     : 32
Pages per chunk       : 1
Total number of pages : 128
Total number of blocks: 128
Double buffering      : yes
clock rate: 1440.000 MHz
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
     16384;        9.401;     1742.793;        0.002;  8192000.000;        9.403;     1742.423;
     16384;        8.537;     1919.175;        0.002;  8192000.000;        8.539;     1918.726;
     16384;        8.549;     1916.481;        0.002;  8192000.000;        8.551;     1916.033;
     16384;        8.537;     1919.175;        0.002;  8192000.000;        8.539;     1918.726;
     16384;        8.572;     1911.339;        0.002;  8192000.000;        8.574;     1910.893;
     16384;        8.547;     1916.930;        0.002;  8192000.000;        8.549;     1916.481;
     16384;        8.554;     1915.361;        0.002;  8192000.000;        8.556;     1914.914;
     16384;        8.562;     1913.572;        0.002;  8192000.000;        8.564;     1913.125;
     16384;        8.551;     1916.033;        0.002;  8192000.000;        8.553;     1915.585;
     16384;        8.557;     1914.690;        0.002;  8192000.000;        8.559;     1914.242;
     16384;        8.544;     1917.603;        0.002;  8192000.000;        8.546;     1917.154;
     16384;        8.545;     1917.379;        0.002;  8192000.000;        8.547;     1916.930;
     16384;        8.551;     1916.033;        0.002;  8192000.000;        8.553;     1915.585;
     16384;        8.546;     1917.154;        0.002;  8192000.000;        8.548;     1916.706;
     16384;        8.554;     1915.361;        0.002;  8192000.000;        8.556;     1914.914;
     16384;        8.549;     1916.481;        0.002;  8192000.000;        8.551;     1916.033;
     16384;       10.843;     1511.021;        0.002;  8192000.000;       10.845;     1510.742;
     16384;       11.231;     1458.819;        0.002;  8192000.000;       11.233;     1458.560;
     16384;       10.857;     1509.072;        0.002;  8192000.000;       10.859;     1508.795;
     16384;       11.238;     1457.911;        0.002;  8192000.000;       11.240;     1457.651;
     16384;       10.881;     1505.744;        0.002;  8192000.000;       10.883;     1505.467;
     16384;       10.877;     1506.298;        0.002;  8192000.000;       10.879;     1506.021;
     16384;       10.873;     1506.852;        0.002;  8192000.000;       10.875;     1506.575;
     16384;       10.509;     1559.045;        0.002;  8192000.000;       10.511;     1558.748;
     16384;       10.858;     1508.934;        0.002;  8192000.000;       10.860;     1508.656;
     16384;       10.851;     1509.907;        0.002;  8192000.000;       10.853;     1509.629;
     16384;       10.854;     1509.490;        0.002;  8192000.000;       10.856;     1509.211;
     16384;       10.857;     1509.072;        0.002;  8192000.000;       10.859;     1508.795;
     16384;        9.691;     1690.641;        0.002;  8192000.000;        9.693;     1690.292;
     16384;        9.649;     1698.000;        0.002;  8192000.000;        9.651;     1697.648;
     16384;        9.571;     1711.838;        0.002;  8192000.000;        9.573;     1711.480;
     16384;       21.277;      770.033;        0.002;  8192000.000;       21.279;      769.961;
Event time elapsed    : 1683.456 µs
Estimated bandwidth   : 311.436 MiB/s
