CUDA device           : 0 NVIDIA A30X (0000:36:00.0)
Controller page size  : 4096 B
Namespace block size  : 4096 B
Number of threads     : 1
Chunks per thread     : 32
Pages per chunk       : 1
Total number of pages : 32
Total number of blocks: 32
Double buffering      : yes
clock rate: 1440.000 MHz
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
      4096;        6.837;      599.093;        0.002;  2048000.000;        6.839;      598.918;
      4096;        5.920;      691.892;        0.002;  2048000.000;        5.922;      691.658;
      4096;        5.920;      691.892;        0.002;  2048000.000;        5.922;      691.658;
      4096;        5.922;      691.658;        0.002;  2048000.000;        5.924;      691.425;
      4096;        5.920;      691.892;        0.002;  2048000.000;        5.922;      691.658;
      4096;        5.916;      692.360;        0.002;  2048000.000;        5.918;      692.126;
      4096;        5.919;      692.009;        0.002;  2048000.000;        5.921;      691.775;
      4096;        5.917;      692.243;        0.002;  2048000.000;        5.919;      692.009;
      4096;        5.933;      690.376;        0.002;  2048000.000;        5.935;      690.143;
      4096;        5.918;      692.126;        0.002;  2048000.000;        5.920;      691.892;
      4096;        6.682;      612.990;        0.002;  2048000.000;        6.684;      612.807;
      4096;        6.676;      613.541;        0.002;  2048000.000;        6.678;      613.357;
      4096;        5.923;      691.541;        0.002;  2048000.000;        5.925;      691.308;
      4096;        5.920;      691.892;        0.002;  2048000.000;        5.922;      691.658;
      4096;        5.854;      699.693;        0.002;  2048000.000;        5.856;      699.454;
      4096;        6.553;      625.057;        0.002;  2048000.000;        6.555;      624.867;
      4096;        5.787;      707.793;        0.002;  2048000.000;        5.789;      707.549;
      4096;        6.511;      629.089;        0.002;  2048000.000;        6.513;      628.896;
      4096;        6.021;      680.286;        0.002;  2048000.000;        6.023;      680.060;
      4096;        6.176;      663.212;        0.002;  2048000.000;        6.178;      662.998;
      4096;        6.166;      664.288;        0.002;  2048000.000;        6.168;      664.073;
      4096;        6.169;      663.965;        0.002;  2048000.000;        6.171;      663.750;
      4096;        6.170;      663.857;        0.002;  2048000.000;        6.172;      663.642;
      4096;        6.168;      664.073;        0.002;  2048000.000;        6.170;      663.857;
      4096;        6.169;      663.965;        0.002;  2048000.000;        6.171;      663.750;
      4096;        6.166;      664.288;        0.002;  2048000.000;        6.168;      664.073;
      4096;        6.163;      664.611;        0.002;  2048000.000;        6.165;      664.396;
      4096;        6.172;      663.642;        0.002;  2048000.000;        6.174;      663.427;
      4096;        6.172;      663.642;        0.002;  2048000.000;        6.174;      663.427;
      4096;        6.172;      663.642;        0.002;  2048000.000;        6.174;      663.427;
      4096;        6.168;      664.073;        0.002;  2048000.000;        6.170;      663.857;
      4096;       13.198;      310.350;        0.002;  2048000.000;       13.200;      310.303;
Event time elapsed    : 1564.672 µs
Estimated bandwidth   : 83.770 MiB/s
