CUDA device           : 0 NVIDIA A30X (0000:36:00.0)
Controller page size  : 4096 B
Namespace block size  : 4096 B
Number of threads     : 16
Chunks per thread     : 32
Pages per chunk       : 1
Total number of pages : 512
Total number of blocks: 512
Double buffering      : yes
clock rate: 1440.000 MHz
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
     65536;       29.696;     2206.897;        2.048;    32000.000;       31.744;     2064.516;
     65536;       28.672;     2285.714;        2.048;    32000.000;       30.720;     2133.333;
     65536;       29.696;     2206.897;        2.048;    32000.000;       31.744;     2064.516;
     65536;       24.576;     2666.667;        2.048;    32000.000;       26.624;     2461.538;
     65536;       21.504;     3047.619;        2.048;    32000.000;       23.552;     2782.609;
     65536;       22.528;     2909.091;        2.048;    32000.000;       24.576;     2666.667;
     65536;       21.504;     3047.619;        2.048;    32000.000;       23.552;     2782.609;
     65536;       21.504;     3047.619;        3.072;    21333.333;       24.576;     2666.667;
     65536;       29.696;     2206.897;        2.048;    32000.000;       31.744;     2064.516;
     65536;       28.672;     2285.714;        2.048;    32000.000;       30.720;     2133.333;
     65536;       28.672;     2285.714;        3.072;    21333.333;       31.744;     2064.516;
     65536;       24.576;     2666.667;        2.048;    32000.000;       26.624;     2461.538;
     65536;       22.528;     2909.091;        2.048;    32000.000;       24.576;     2666.667;
     65536;       21.504;     3047.619;        2.048;    32000.000;       23.552;     2782.609;
     65536;       21.504;     3047.619;        2.048;    32000.000;       23.552;     2782.609;
     65536;       22.528;     2909.091;        2.048;    32000.000;       24.576;     2666.667;
     65536;       28.672;     2285.714;        2.048;    32000.000;       30.720;     2133.333;
     65536;       28.672;     2285.714;        2.048;    32000.000;       30.720;     2133.333;
     65536;       28.672;     2285.714;        2.048;    32000.000;       30.720;     2133.333;
     65536;       23.552;     2782.609;        3.072;    21333.333;       26.624;     2461.538;
     65536;       21.504;     3047.619;        3.072;    21333.333;       24.576;     2666.667;
     65536;       22.528;     2909.091;        2.048;    32000.000;       24.576;     2666.667;
     65536;       21.504;     3047.619;        2.048;    32000.000;       23.552;     2782.609;
     65536;       22.528;     2909.091;        2.048;    32000.000;       24.576;     2666.667;
     65536;       28.672;     2285.714;        2.048;    32000.000;       30.720;     2133.333;
     65536;       28.672;     2285.714;        2.048;    32000.000;       30.720;     2133.333;
     65536;       28.672;     2285.714;        3.072;    21333.333;       31.744;     2064.516;
     65536;       24.576;     2666.667;        2.048;    32000.000;       26.624;     2461.538;
     65536;       21.504;     3047.619;        2.048;    32000.000;       23.552;     2782.609;
     65536;       22.528;     2909.091;        2.048;    32000.000;       24.576;     2666.667;
     65536;       22.528;     2909.091;        2.048;    32000.000;       24.576;     2666.667;
     65536;       21.504;     3047.619;        0.000;          inf;       21.504;     3047.619;
Event time elapsed    : 2128.896 µs
Estimated bandwidth   : 985.089 MiB/s
