CUDA device           : 0 NVIDIA A30X (0000:36:00.0)
Controller page size  : 4096 B
Namespace block size  : 4096 B
Number of threads     : 16
Chunks per thread     : 32
Pages per chunk       : 1
Total number of pages : 512
Total number of blocks: 512
Double buffering      : yes
clock rate: 1440.000 MHz
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
     65536;       29.696;     2206.897;        5.120;    12800.000;       34.816;     1882.353;
     65536;       28.672;     2285.714;        4.096;    16000.000;       32.768;     2000.000;
     65536;       28.672;     2285.714;        4.096;    16000.000;       32.768;     2000.000;
     65536;       24.576;     2666.667;        4.096;    16000.000;       28.672;     2285.714;
     65536;       21.504;     3047.619;        4.096;    16000.000;       25.600;     2560.000;
     65536;       22.528;     2909.091;        4.096;    16000.000;       26.624;     2461.538;
     65536;       21.504;     3047.619;        5.120;    12800.000;       26.624;     2461.538;
     65536;       22.528;     2909.091;        4.096;    16000.000;       26.624;     2461.538;
     65536;       29.696;     2206.897;        4.096;    16000.000;       33.792;     1939.394;
     65536;       28.672;     2285.714;        4.096;    16000.000;       32.768;     2000.000;
     65536;       29.696;     2206.897;        4.096;    16000.000;       33.792;     1939.394;
     65536;       24.576;     2666.667;        4.096;    16000.000;       28.672;     2285.714;
     65536;       21.504;     3047.619;        4.096;    16000.000;       25.600;     2560.000;
     65536;       21.504;     3047.619;        5.120;    12800.000;       26.624;     2461.538;
     65536;       22.528;     2909.091;        4.096;    16000.000;       26.624;     2461.538;
     65536;       21.504;     3047.619;        5.120;    12800.000;       26.624;     2461.538;
     65536;       29.696;     2206.897;        4.096;    16000.000;       33.792;     1939.394;
     65536;       29.696;     2206.897;        4.096;    16000.000;       33.792;     1939.394;
     65536;       28.672;     2285.714;        4.096;    16000.000;       32.768;     2000.000;
     65536;       23.552;     2782.609;        5.120;    12800.000;       28.672;     2285.714;
     65536;       22.528;     2909.091;        4.096;    16000.000;       26.624;     2461.538;
     65536;       22.528;     2909.091;        4.096;    16000.000;       26.624;     2461.538;
     65536;       21.504;     3047.619;        4.096;    16000.000;       25.600;     2560.000;
     65536;       22.528;     2909.091;        4.096;    16000.000;       26.624;     2461.538;
     65536;       28.672;     2285.714;        4.096;    16000.000;       32.768;     2000.000;
     65536;       29.696;     2206.897;        4.096;    16000.000;       33.792;     1939.394;
     65536;       28.672;     2285.714;        4.096;    16000.000;       32.768;     2000.000;
     65536;       23.552;     2782.609;        4.096;    16000.000;       27.648;     2370.370;
     65536;       22.528;     2909.091;        5.120;    12800.000;       27.648;     2370.370;
     65536;       22.528;     2909.091;        4.096;    16000.000;       26.624;     2461.538;
     65536;       22.528;     2909.091;        4.096;    16000.000;       26.624;     2461.538;
     65536;       21.504;     3047.619;        0.000;          inf;       21.504;     3047.619;
Event time elapsed    : 2289.664 µs
Estimated bandwidth   : 915.921 MiB/s
